RecordType,StartDate,Value
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 14:31:07 -0800,93
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 14:36:07 -0800,94
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 14:41:07 -0800,92
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 14:46:07 -0800,95
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 14:51:06 -0800,101
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 14:56:07 -0800,102
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 15:01:07 -0800,110
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 15:06:07 -0800,134
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 15:11:07 -0800,148
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 15:16:07 -0800,149
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 15:21:07 -0800,146
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 15:26:07 -0800,140
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 15:31:07 -0800,136
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 15:36:07 -0800,137
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 15:41:07 -0800,127
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 15:46:07 -0800,116
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 15:51:07 -0800,120
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 15:56:07 -0800,136
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 16:01:07 -0800,139
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 16:06:07 -0800,152
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 16:11:07 -0800,175
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 16:16:07 -0800,190
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 16:21:07 -0800,173
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 16:26:07 -0800,158
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 16:31:08 -0800,154
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 16:36:07 -0800,143
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 16:41:07 -0800,143
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 16:46:08 -0800,142
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 16:51:07 -0800,144
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 16:56:08 -0800,141
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 17:01:08 -0800,139
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 17:06:08 -0800,137
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 17:11:07 -0800,138
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 17:16:07 -0800,133
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 17:21:08 -0800,124
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 17:26:07 -0800,140
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 17:31:08 -0800,132
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 17:36:07 -0800,139
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 17:41:07 -0800,149
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 17:46:07 -0800,151
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 17:51:08 -0800,131
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 17:56:08 -0800,106
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 18:01:07 -0800,103
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 18:06:08 -0800,101
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 18:11:07 -0800,92
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 18:16:08 -0800,85
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 18:21:07 -0800,96
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 18:26:07 -0800,96
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 18:31:07 -0800,98
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 18:36:07 -0800,100
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 18:41:08 -0800,104
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 18:46:07 -0800,107
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 18:51:08 -0800,108
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 18:56:08 -0800,107
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 19:01:07 -0800,106
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 19:06:08 -0800,116
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 19:11:08 -0800,116
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 19:16:07 -0800,100
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 19:21:08 -0800,105
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 19:26:07 -0800,112
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 19:31:08 -0800,109
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 19:36:08 -0800,109
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 19:41:08 -0800,106
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 19:46:08 -0800,107
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 19:51:08 -0800,122
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 19:56:08 -0800,143
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 20:01:08 -0800,158
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 20:06:08 -0800,155
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 20:11:08 -0800,131
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 20:16:08 -0800,112
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 20:21:08 -0800,109
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 20:26:08 -0800,117
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 20:31:08 -0800,126
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 20:36:08 -0800,114
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 20:41:09 -0800,121
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 20:46:08 -0800,124
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 20:51:08 -0800,117
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 20:56:09 -0800,109
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 21:01:08 -0800,113
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 21:06:08 -0800,113
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 21:11:08 -0800,110
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 21:16:08 -0800,107
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 21:21:08 -0800,111
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 21:26:09 -0800,113
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 21:31:08 -0800,109
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 21:36:08 -0800,107
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 21:41:08 -0800,109
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 21:46:08 -0800,126
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 21:51:08 -0800,141
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 21:56:08 -0800,135
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 22:01:08 -0800,123
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 22:06:09 -0800,122
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 22:11:09 -0800,100
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 22:16:09 -0800,96
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 22:21:08 -0800,97
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 22:26:08 -0800,96
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 22:31:08 -0800,103
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 22:36:08 -0800,114
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 22:41:08 -0800,111
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 22:46:09 -0800,104
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 22:51:09 -0800,93
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 22:56:08 -0800,105
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 23:01:09 -0800,100
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 23:06:08 -0800,96
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 23:11:09 -0800,102
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 23:16:09 -0800,106
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 23:21:09 -0800,106
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 23:26:08 -0800,99
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 23:31:09 -0800,104
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 23:36:08 -0800,106
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 23:41:09 -0800,108
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 23:46:08 -0800,111
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 23:51:09 -0800,113
HKQuantityTypeIdentifierBloodGlucose,2024-11-04 23:56:09 -0800,114
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 00:01:09 -0800,112
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 00:06:09 -0800,111
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 00:11:09 -0800,109
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 00:16:09 -0800,94
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 00:21:08 -0800,94
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 00:26:09 -0800,102
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 00:31:09 -0800,106
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 00:36:09 -0800,106
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 00:41:09 -0800,91
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 00:46:08 -0800,89
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 00:51:08 -0800,94
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 00:56:09 -0800,95
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 01:01:08 -0800,92
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 01:06:09 -0800,91
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 01:11:09 -0800,90
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 01:16:09 -0800,90
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 01:21:09 -0800,91
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 01:26:09 -0800,92
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 01:31:09 -0800,93
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 01:36:09 -0800,93
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 01:41:09 -0800,94
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 01:46:09 -0800,94
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 01:51:09 -0800,94
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 01:56:09 -0800,91
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 02:01:09 -0800,92
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 02:06:09 -0800,98
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 02:11:09 -0800,101
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 02:16:09 -0800,97
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 02:21:10 -0800,97
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 02:26:09 -0800,102
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 02:31:09 -0800,102
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 02:36:09 -0800,89
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 02:41:09 -0800,90
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 02:46:09 -0800,99
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 02:51:09 -0800,103
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 02:56:10 -0800,99
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 03:01:10 -0800,99
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 03:06:10 -0800,98
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 03:11:09 -0800,97
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 03:16:10 -0800,98
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 03:21:10 -0800,87
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 03:26:09 -0800,90
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 03:31:09 -0800,99
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 03:36:09 -0800,102
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 03:41:10 -0800,100
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 03:46:09 -0800,100
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 03:51:10 -0800,99
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 03:56:09 -0800,100
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 04:01:10 -0800,100
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 04:06:10 -0800,101
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 04:11:10 -0800,101
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 04:16:09 -0800,102
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 04:21:10 -0800,103
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 04:26:10 -0800,103
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 04:31:09 -0800,99
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 04:36:10 -0800,92
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 04:41:10 -0800,103
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 04:46:10 -0800,105
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 04:51:09 -0800,103
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 04:56:09 -0800,95
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 05:01:09 -0800,105
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 05:06:10 -0800,108
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 05:11:10 -0800,106
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 05:16:09 -0800,105
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 05:21:09 -0800,107
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 05:26:10 -0800,107
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 05:31:09 -0800,100
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 05:36:09 -0800,99
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 05:41:10 -0800,102
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 05:46:10 -0800,102
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 05:51:10 -0800,105
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 05:56:09 -0800,99
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 06:01:09 -0800,100
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 06:06:10 -0800,102
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 06:11:10 -0800,106
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 06:16:10 -0800,107
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 06:21:10 -0800,106
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 06:26:10 -0800,107
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 06:31:10 -0800,106
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 06:36:10 -0800,105
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 06:41:10 -0800,107
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 06:46:10 -0800,107
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 06:51:10 -0800,106
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 06:56:10 -0800,107
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 07:01:10 -0800,107
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 07:06:10 -0800,94
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 07:11:10 -0800,92
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 07:16:11 -0800,99
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 07:21:10 -0800,100
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 07:26:10 -0800,99
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 07:31:10 -0800,103
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 07:36:10 -0800,98
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 07:41:10 -0800,95
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 07:46:10 -0800,91
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 07:51:11 -0800,88
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 07:56:11 -0800,102
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 08:01:10 -0800,101
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 08:06:10 -0800,100
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 08:11:11 -0800,101
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 08:16:10 -0800,100
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 08:21:10 -0800,101
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 08:26:11 -0800,101
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 08:31:11 -0800,100
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 08:36:10 -0800,101
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 08:41:10 -0800,99
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 08:46:10 -0800,103
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 08:51:11 -0800,105
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 08:56:11 -0800,103
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 09:01:11 -0800,105
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 09:06:10 -0800,105
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 09:11:10 -0800,99
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 09:16:11 -0800,102
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 09:21:10 -0800,102
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 09:26:10 -0800,102
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 09:31:11 -0800,99
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 09:36:11 -0800,92
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 09:41:11 -0800,95
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 09:46:11 -0800,97
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 09:51:10 -0800,98
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 09:56:10 -0800,97
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 10:01:11 -0800,95
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 10:06:11 -0800,103
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 10:11:10 -0800,106
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 10:16:11 -0800,101
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 10:21:11 -0800,104
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 10:26:11 -0800,105
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 10:31:10 -0800,105
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 10:36:11 -0800,110
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 10:41:11 -0800,125
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 10:46:11 -0800,144
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 10:51:11 -0800,145
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 10:56:12 -0800,149
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 11:01:11 -0800,140
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 11:06:11 -0800,140
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 11:11:10 -0800,129
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 11:16:11 -0800,123
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 11:21:11 -0800,130
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 11:26:11 -0800,126
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 11:31:11 -0800,130
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 11:36:10 -0800,131
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 11:41:11 -0800,132
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 11:46:11 -0800,138
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 11:51:11 -0800,143
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 11:56:11 -0800,142
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 12:01:11 -0800,133
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 12:06:11 -0800,122
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 12:11:11 -0800,117
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 12:16:11 -0800,120
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 12:21:11 -0800,133
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 12:26:11 -0800,129
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 12:31:11 -0800,135
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 12:36:11 -0800,129
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 12:41:11 -0800,123
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 12:46:11 -0800,122
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 12:51:12 -0800,116
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 12:56:11 -0800,114
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 13:01:12 -0800,110
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 13:06:11 -0800,109
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 13:11:11 -0800,106
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 13:16:11 -0800,109
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 13:21:12 -0800,113
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 13:26:11 -0800,106
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 13:31:11 -0800,103
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 13:36:12 -0800,105
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 13:41:11 -0800,103
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 13:46:12 -0800,95
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 13:51:11 -0800,100
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 13:56:11 -0800,98
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 14:01:11 -0800,97
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 14:06:11 -0800,93
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 14:11:12 -0800,95
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 14:16:12 -0800,96
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 14:21:11 -0800,100
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 14:26:12 -0800,99
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 14:31:11 -0800,97
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 14:36:11 -0800,98
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 14:41:11 -0800,93
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 14:46:11 -0800,98
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 14:51:11 -0800,99
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 14:56:12 -0800,96
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 15:01:12 -0800,96
HKQuantityTypeIdentifierBloodGlucose,2024-11-05 15:06:12 -0800,99
